t,epoch,loss,val_loss,ivw,evw,ivw_ann,wp_loss,triax_loss
131,132.0,1.7060499e-09,5.6746527e-09,61176.965,61173.652,61176.57,0.0,0.0
132,133.0,2.7410139e-09,4.724689e-09,79365.305,79442.016,79406.664,0.0,0.0
133,134.0,1.12203224e-08,1.3045758e-08,43619.05,43486.31,43471.8,0.0,0.0
134,135.0,6.343646e-09,1.9263759e-08,66593.61,66604.97,66593.1,0.0,0.0
135,136.0,5.2629487e-09,6.9159563e-09,54207.273,54150.805,54126.094,0.0,0.0
136,137.0,9.995866e-09,1.5689867e-08,59644.223,59655.867,59647.297,0.0,0.0
137,138.0,5.757014e-09,9.0541725e-09,70675.59,70704.555,70680.65,0.0,0.0
138,139.0,1.603962e-09,4.6573887e-09,79365.305,79442.016,79419.055,0.0,0.0
139,140.0,4.223429e-09,6.499965e-09,70675.59,70704.56,70660.72,0.0,0.0
140,141.0,7.145717e-09,3.1319903e-08,79365.305,79442.016,79458.625,0.0,0.0
141,142.0,3.9812202e-09,4.590721e-09,49736.21,49722.68,49771.586,0.0,0.0
142,143.0,1.4154209e-09,5.4475366e-09,70675.59,70698.95,70681.21,0.0,0.0
143,144.0,4.202723e-09,5.601745e-09,61176.973,61173.652,61181.355,0.0,0.0
144,145.0,2.1496047e-09,3.4955576e-09,66593.61,66604.97,66614.01,0.0,0.0
145,146.0,2.8707055e-09,3.6496404e-09,66593.61,66604.97,66581.85,0.0,0.0
146,147.0,2.5859708e-09,7.08857e-09,61176.965,61173.652,61167.195,0.0,0.0
147,148.0,2.3389695e-09,6.992788e-09,70675.59,70704.56,70703.59,0.0,0.0
148,149.0,1.1148526e-08,1.633327e-08,88021.84,88108.07,88147.88,0.0,0.0
149,150.0,1.3604011e-09,6.159278e-09,76862.94,76917.96,76910.16,0.0,0.0
150,151.0,1.6429701e-09,7.0109882e-09,79365.31,79442.016,79462.055,0.0,0.0
151,152.0,2.4366976e-08,1.4638794e-08,70675.59,70704.56,70679.73,0.0,0.0
152,153.0,1.1182637e-09,4.778492e-09,54207.273,54150.805,54148.055,0.0,0.0
153,154.0,1.1054584e-09,3.542922e-09,79365.305,79442.01,79443.28,0.0,0.0
154,155.0,3.0782834e-09,1.19882095e-08,70675.59,70698.96,70676.09,0.0,0.0
155,156.0,6.8659136e-09,4.7366138e-09,49736.21,49722.68,49748.477,0.0,0.0
156,157.0,3.2607157e-09,4.2634403e-09,66593.61,66604.97,66595.06,0.0,0.0
157,158.0,2.4904134e-09,7.643708e-09,59644.223,59655.867,59670.23,0.0,0.0
158,159.0,1.0368032e-09,4.1454284e-09,70675.59,70698.95,70695.516,0.0,0.0
159,160.0,1.4279062e-09,5.586876e-09,79365.305,79442.016,79405.75,0.0,0.0
160,161.0,9.418662e-09,8.963163e-09,44471.86,44340.29,44348.79,0.0,0.0
161,162.0,7.370307e-10,3.857023e-09,70675.59,70698.95,70698.47,0.0,0.0
162,163.0,5.309703e-09,6.3975367e-09,49736.215,49722.68,49713.75,0.0,0.0
163,164.0,2.1748536e-09,3.5862169e-09,59644.223,59655.867,59639.14,0.0,0.0
164,165.0,5.2280305e-09,1.0007551e-08,61176.965,61173.652,61191.562,0.0,0.0
165,166.0,1.1946479e-09,3.4576157e-09,70675.59,70704.56,70713.875,0.0,0.0
166,167.0,8.868082e-10,4.0196526e-09,79365.305,79442.016,79419.01,0.0,0.0
167,168.0,1.7477794e-09,4.1205537e-09,61176.965,61165.02,61128.52,0.0,0.0
168,169.0,1.5554712e-09,5.89052e-09,79365.305,79442.016,79441.84,0.0,0.0
169,170.0,8.835953e-09,8.991678e-09,43890.03,43756.91,43756.926,0.0,0.0
170,171.0,9.0753954e-10,4.01217e-09,79365.305,79442.01,79431.78,0.0,0.0
171,172.0,3.8892214e-09,4.6819775e-09,49736.21,49722.68,49747.43,0.0,0.0
172,173.0,2.1962885e-09,4.8157274e-09,90359.87,90444.84,90484.35,0.0,0.0
173,174.0,4.329477e-09,5.389003e-09,45424.035,45294.453,45287.67,0.0,0.0
174,175.0,8.83794e-10,2.9504381e-09,70675.59,70704.555,70715.664,0.0,0.0
175,176.0,2.0865003e-09,3.8459778e-09,66593.6,66604.97,66601.65,0.0,0.0
176,177.0,8.2811304e-09,2.0948619e-08,59644.223,59655.875,59672.11,0.0,0.0
177,178.0,1.6874012e-09,6.162642e-09,70675.59,70698.95,70682.16,0.0,0.0
178,179.0,1.3542012e-09,3.3723613e-09,79365.31,79442.016,79425.266,0.0,0.0
179,180.0,2.1163469e-09,6.2786154e-09,59644.23,59655.867,59653.59,0.0,0.0
180,181.0,3.112306e-09,6.83575e-09,73025.53,73055.5,73101.836,0.0,0.0
181,182.0,1.724137e-09,3.0945273e-09,78053.83,78112.4,78123.74,0.0,0.0
182,183.0,1.256664e-09,3.0104153e-09,70675.586,70704.56,70714.71,0.0,0.0
183,184.0,2.7006797e-09,6.08474e-09,66593.61,66604.97,66608.94,0.0,0.0
184,185.0,2.5825762e-09,1.1695527e-08,79365.31,79442.016,79478.586,0.0,0.0
185,186.0,4.259032e-09,3.591212e-09,54207.27,54150.805,54128.766,0.0,0.0
186,187.0,6.156615e-09,1.4508326e-08,61176.965,61165.02,61089.117,0.0,0.0
187,188.0,1.7257666e-09,6.5080252e-09,73025.53,73055.5,73058.516,0.0,0.0
188,189.0,9.771537e-10,3.7563845e-09,59644.223,59655.867,59661.375,0.0,0.0
189,190.0,3.9883643e-09,8.797553e-09,45064.43,44933.188,44931.5,0.0,0.0
190,191.0,1.0246026e-09,3.2149081e-09,70675.59,70704.555,70720.29,0.0,0.0
191,192.0,2.0531035e-09,4.7126347e-09,90388.42,90470.21,90454.65,0.0,0.0
192,193.0,1.1216447e-09,5.0138813e-09,76862.945,76917.96,76907.83,0.0,0.0
193,194.0,1.701424e-09,5.478078e-09,66593.61,66604.97,66633.336,0.0,0.0
194,195.0,1.5072336e-09,4.2811354e-09,70675.59,70698.96,70693.99,0.0,0.0
195,196.0,5.370515e-10,3.09713e-09,88726.12,88807.82,88807.22,0.0,0.0
196,197.0,1.7213656e-08,1.7364878e-08,59644.223,59655.875,59589.367,0.0,0.0
197,198.0,1.9814275e-09,7.667084e-09,78053.836,78112.4,78108.33,0.0,0.0
198,199.0,1.4856616e-09,9.206619e-09,70675.59,70698.96,70678.69,0.0,0.0
199,200.0,2.8205596e-09,3.3639245e-09,76862.94,76917.95,76970.2,0.0,0.0
200,201.0,1.3397456e-09,5.2076454e-09,61176.965,61165.02,61140.473,0.0,0.0
201,202.0,3.820158e-09,4.115464e-09,78053.82,78112.39,78095.586,0.0,0.0
202,203.0,1.9555997e-09,3.4512588e-09,73025.53,73055.5,73023.54,0.0,0.0
203,204.0,1.7552976e-09,3.1355822e-09,49736.21,49722.676,49731.76,0.0,0.0
204,205.0,6.2635386e-09,5.475691e-09,59644.23,59655.867,59559.152,0.0,0.0
205,206.0,6.7705197e-10,2.8207747e-09,89119.734,89202.56,89223.99,0.0,0.0
206,207.0,8.96538e-09,3.5831564e-09,46331.367,46201.57,46177.902,0.0,0.0
207,208.0,1.4324691e-09,3.0804395e-09,54207.273,54150.805,54168.953,0.0,0.0
208,209.0,1.5985218e-09,4.641066e-09,66593.62,66604.97,66595.29,0.0,0.0
209,210.0,1.3647631e-09,2.6483469e-09,61176.973,61165.02,61170.305,0.0,0.0
210,211.0,2.8288667e-09,7.2011983e-09,70675.59,70698.96,70700.016,0.0,0.0
211,212.0,1.7219978e-09,4.4794293e-09,79365.305,79442.016,79411.695,0.0,0.0
212,213.0,2.4463296e-09,3.9240122e-09,54207.27,54150.805,54145.6,0.0,0.0
213,214.0,1.7282272e-08,4.738279e-08,61176.957,61165.027,61197.855,0.0,0.0
214,215.0,1.5052621e-09,2.8407952e-09,66593.6,66604.97,66642.375,0.0,0.0
215,216.0,1.8463984e-09,1.3044659e-08,59644.223,59655.867,59635.82,0.0,0.0
216,217.0,2.3377562e-09,2.8819178e-09,43623.473,43491.543,43471.703,0.0,0.0
217,218.0,7.63038e-09,1.7735012e-08,54207.27,54150.8,54109.61,0.0,0.0
218,219.0,1.7245164e-09,4.3321213e-09,59644.223,59655.867,59671.668,0.0,0.0
219,220.0,1.5396102e-09,4.969927e-09,88861.47,88945.9,88945.02,0.0,0.0
220,221.0,5.897576e-09,1.1362861e-08,61176.965,61165.02,61165.16,0.0,0.0
221,222.0,9.744308e-10,4.07107e-09,79365.305,79442.016,79414.27,0.0,0.0
222,223.0,4.413443e-09,3.3645996e-08,78053.83,78112.39,78104.266,0.0,0.0
223,224.0,1.9859288e-09,5.5311773e-09,73025.53,73055.5,73050.93,0.0,0.0
224,225.0,2.839234e-09,3.3436076e-09,73025.53,73055.5,73065.22,0.0,0.0
225,226.0,2.2036855e-09,6.9916513e-09,78053.836,78112.4,78087.266,0.0,0.0
226,227.0,1.1498166e-08,1.523037e-08,45203.703,45074.33,45024.65,0.0,0.0
227,228.0,5.141605e-10,3.1409995e-09,70675.59,70698.96,70700.12,0.0,0.0
228,229.0,3.2353977e-09,4.3941757e-09,44211.098,44080.855,44080.14,0.0,0.0
229,230.0,1.6107378e-09,4.484038e-09,59644.23,59655.867,59603.14,0.0,0.0
230,231.0,3.7824543e-09,6.1377845e-09,49736.21,49722.68,49730.934,0.0,0.0
231,232.0,3.454343e-09,3.3219412e-09,61176.965,61165.027,61183.395,0.0,0.0
232,233.0,1.7594305e-09,3.834798e-09,59644.23,59655.867,59666.047,0.0,0.0
233,234.0,1.4055088e-09,2.7400209e-09,73025.53,73055.5,73075.96,0.0,0.0
234,235.0,9.312213e-10,7.792038e-09,79365.305,79442.016,79438.37,0.0,0.0
235,236.0,1.5210804e-09,5.0095386e-09,79365.31,79442.016,79433.07,0.0,0.0
236,237.0,1.2090179e-09,4.912982e-09,59644.23,59655.867,59656.723,0.0,0.0
237,238.0,1.6185115e-09,5.091939e-09,91413.27,91502.81,91532.93,0.0,0.0
238,239.0,1.0549346e-09,5.552883e-09,89369.125,89451.49,89427.37,0.0,0.0
239,240.0,4.8615236e-09,2.9245184e-09,42909.89,42777.08,42756.668,0.0,0.0
240,241.0,1.1773935e-09,2.9635e-09,61176.965,61173.652,61156.34,0.0,0.0
241,242.0,1.87035e-09,7.921798e-09,70675.59,70698.96,70678.125,0.0,0.0
242,243.0,2.9439788e-09,9.249368e-09,61176.973,61165.02,61143.438,0.0,0.0
243,244.0,5.0049107e-09,3.0161111e-09,43885.266,43754.16,43739.176,0.0,0.0
244,245.0,3.3110954e-09,1.0487614e-08,45527.734,45394.742,45374.34,0.0,0.0
245,246.0,2.8655973e-09,6.4821943e-09,89122.49,89206.01,89244.85,0.0,0.0
246,247.0,3.0200527e-09,1.01154685e-08,66593.62,66604.97,66608.33,0.0,0.0
